gamma,kbt,l2_loss,l1_loss,linf_loss,rl2_loss,rl1_loss,l2_lq,l1_lq,linf_lq,l2_elq,l1_elq,linf_elq
1,5,0.0018893483687111746,5.700331194020691e-06,1.0,0.08700377356579425,0.012066063597991497,0.08620149131208789,0.00020284744969103485,215.32827758789062,0.08627086683495634,0.00024721161840716375,215.32827758789062
5,5,5.411231134496813e-06,1.0256532948460516e-06,0.14274466037750244,0.00024916069082032706,0.002169242690411729,0.0013062090086035471,1.9887623309386982e-05,46.02024459838867,0.0005069458206618358,5.679225218045758e-05,46.02024459838867
25,5,0.00022145914438650936,0.00016236036841291935,0.11105487495660782,0.010196614310182974,0.2559758247983491,0.00099293031207663,2.786333941912744e-05,15.444877624511719,0.006885139462263193,0.0037409501057118176,15.444877624511719
